group,spectrum,file,raman_shift_cm-1,raw_intensity,baseline,baseline_corrected,normalized_intensity
1,1-YDC_11,1\1-YDC_11.txt,102.984,1310,1305.71,0,0
1,1-YDC_11,1\1-YDC_11.txt,106.061,1336,1302.56,28.241,0.0469692
1,1-YDC_11,1\1-YDC_11.txt,109.136,1350,1299.4,49.6569,0.082587
1,1-YDC_11,1\1-YDC_11.txt,112.209,1344,1296.25,64.0564,0.106536
1,1-YDC_11,1\1-YDC_11.txt,115.281,1336,1293.1,72.525,0.12062
1,1-YDC_11,1\1-YDC_11.txt,118.351,1380,1289.95,76.1476,0.126645
1,1-YDC_11,1\1-YDC_11.txt,121.42,1372,1286.8,76.0097,0.126416
1,1-YDC_11,1\1-YDC_11.txt,124.487,1374,1283.65,73.1964,0.121737
1,1-YDC_11,1\1-YDC_11.txt,127.552,1364,1280.49,72.6015,0.120747
1,1-YDC_11,1\1-YDC_11.txt,130.616,1338,1277.34,70.9569,0.118012
1,1-YDC_11,1\1-YDC_11.txt,133.679,1328,1274.19,69.7267,0.115966
1,1-YDC_11,1\1-YDC_11.txt,136.74,1330,1271.04,64.5924,0.107427
1,1-YDC_11,1\1-YDC_11.txt,139.799,1302,1267.89,55.3386,0.0920366
1,1-YDC_11,1\1-YDC_11.txt,142.857,1316,1264.74,51.9183,0.086348
1,1-YDC_11,1\1-YDC_11.txt,145.914,1350,1261.58,45.1223,0.0750453
1,1-YDC_11,1\1-YDC_11.txt,148.969,1300,1258.43,43.825,0.0728876
1,1-YDC_11,1\1-YDC_11.txt,152.023,1296,1255.28,35.7674,0.0594866
1,1-YDC_11,1\1-YDC_11.txt,155.074,1274,1252.13,31.0527,0.0516453
1,1-YDC_11,1\1-YDC_11.txt,158.124,1276,1248.98,27.0908,0.0450562
1,1-YDC_11,1\1-YDC_11.txt,161.173,1282,1245.83,31.8873,0.0530334
1,1-YDC_11,1\1-YDC_11.txt,164.22,1254,1242.68,40.0682,0.0666396
1,1-YDC_11,1\1-YDC_11.txt,167.266,1286,1239.52,50.0355,0.0832167
1,1-YDC_11,1\1-YDC_11.txt,170.31,1246,1236.37,66.5094,0.110615
1,1-YDC_11,1\1-YDC_11.txt,173.353,1336,1233.22,75.2258,0.125112
1,1-YDC_11,1\1-YDC_11.txt,176.394,1332,1230.07,82.9628,0.13798
1,1-YDC_11,1\1-YDC_11.txt,179.434,1368,1226.92,84.3612,0.140306
1,1-YDC_11,1\1-YDC_11.txt,182.472,1334,1223.77,82.5666,0.137321
1,1-YDC_11,1\1-YDC_11.txt,185.509,1286,1220.62,76.2543,0.126822
1,1-YDC_11,1\1-YDC_11.txt,188.544,1272,1217.47,65.0168,0.108133
1,1-YDC_11,1\1-YDC_11.txt,191.577,1236,1214.32,57.6416,0.0958667
1,1-YDC_11,1\1-YDC_11.txt,194.61,1250,1211.17,39.276,0.065322
1,1-YDC_11,1\1-YDC_11.txt,197.641,1230,1208.02,27.9112,0.0464205
1,1-YDC_11,1\1-YDC_11.txt,200.67,1236,1204.87,18.6709,0.0310526
1,1-YDC_11,1\1-YDC_11.txt,203.698,1234,1201.73,23.7544,0.0395072
1,1-YDC_11,1\1-YDC_11.txt,206.724,1264,1198.58,46.0303,0.0765554
1,1-YDC_11,1\1-YDC_11.txt,209.748,1270,1195.43,87.5855,0.145668
1,1-YDC_11,1\1-YDC_11.txt,212.772,1246,1192.28,139.13,0.231394
1,1-YDC_11,1\1-YDC_11.txt,215.792,1304,1189.13,180.183,0.299671
1,1-YDC_11,1\1-YDC_11.txt,218.813,1372,1185.99,214.274,0.356371
1,1-YDC_11,1\1-YDC_11.txt,221.832,1472,1182.84,232.623,0.386887
1,1-YDC_11,1\1-YDC_11.txt,224.849,1552,1179.7,237.825,0.395539
1,1-YDC_11,1\1-YDC_11.txt,227.864,1542,1176.55,234.916,0.390702
1,1-YDC_11,1\1-YDC_11.txt,230.878,1406,1173.4,222.946,0.370794
1,1-YDC_11,1\1-YDC_11.txt,233.891,1276,1170.26,199.666,0.332075
1,1-YDC_11,1\1-YDC_11.txt,236.902,1254,1167.12,162.869,0.270877
1,1-YDC_11,1\1-YDC_11.txt,239.911,1222,1163.97,118.809,0.197598
1,1-YDC_11,1\1-YDC_11.txt,242.92,1234,1160.83,74.4698,0.123855
1,1-YDC_11,1\1-YDC_11.txt,245.926,1252,1157.69,40.7559,0.0677833
1,1-YDC_11,1\1-YDC_11.txt,248.931,1204,1154.55,28.2756,0.0470267
1,1-YDC_11,1\1-YDC_11.txt,251.935,1188,1151.41,31.829,0.0529366
1,1-YDC_11,1\1-YDC_11.txt,254.937,1180,1148.27,35.2459,0.0586194
1,1-YDC_11,1\1-YDC_11.txt,257.938,1154,1145.13,32.414,0.0539094
1,1-YDC_11,1\1-YDC_11.txt,260.937,1164,1141.99,29.6283,0.0492764
1,1-YDC_11,1\1-YDC_11.txt,263.935,1178,1138.85,22.6444,0.0376611
1,1-YDC_11,1\1-YDC_11.txt,266.931,1204,1135.71,22.9862,0.0382296
1,1-YDC_11,1\1-YDC_11.txt,269.926,1196,1132.58,39.2528,0.0652835
1,1-YDC_11,1\1-YDC_11.txt,272.919,1200,1129.44,75.5257,0.125611
