group,display_group,spectrum_order,spectrum_id,raw_file,screen_positive,peak_225_position_cm-1,peak_225_height,peak_225_prominence,peak_294_position_cm-1,peak_294_height,peak_294_prominence,peak_412_position_cm-1,peak_412_height,peak_412_prominence,peak_613_position_cm-1,peak_613_height,peak_613_prominence,peak_1006_position_cm-1,peak_1006_height,peak_1006_prominence,asls_lambda,asls_p,asls_iterations,sg_window,sg_order,normalisation
1,S1,1,1-YDC_11,1/1-YDC_11.txt,1,224.8490,0.3489,0.3336,293.8300,0.7173,0.7136,411.9440,0.5310,0.5310,613.1300,0.2586,0.2586,1008.7000,1.0000,0.9998,1000000.0,0.01,12,5,3,maximum in 100–1800 cm-1
1,S1,2,1-YDC_12,1/1-YDC_12.txt,1,224.8490,0.4295,0.3972,293.8300,1.0000,0.9935,411.9440,0.6026,0.6026,613.1300,0.3622,0.3622,1006.0600,0.9929,0.9929,1000000.0,0.01,12,5,3,maximum in 100–1800 cm-1
1,S1,3,1-YDC_13,1/1-YDC_13.txt,1,224.8490,0.3383,0.3351,293.8300,0.6690,0.6690,411.9440,0.4263,0.4259,613.1300,0.2552,0.2552,1008.7000,1.0000,0.9992,1000000.0,0.01,12,5,3,maximum in 100–1800 cm-1
1,S1,4,1-YDC_14,1/1-YDC_14.txt,1,224.8490,0.4970,0.4736,293.8300,1.0000,1.0000,411.9440,0.4648,0.4648,613.1300,0.2475,0.2475,1008.7000,0.3244,0.3243,1000000.0,0.01,12,5,3,maximum in 100–1800 cm-1
1,S1,5,1-YDC_15,1/1-YDC_15.txt,1,227.8640,0.5142,0.4890,293.8300,1.0000,1.0000,411.9440,0.4478,0.4453,613.1300,0.2110,0.2110,1006.0600,0.2028,0.2018,1000000.0,0.01,12,5,3,maximum in 100–1800 cm-1
1,S1,6,1-YDC_16,1/1-YDC_16.txt,1,224.8490,0.4566,0.4357,293.8300,1.0000,1.0000,411.9440,0.5502,0.5502,615.9540,0.2617,0.2617,1008.7000,0.5731,0.5726,1000000.0,0.01,12,5,3,maximum in 100–1800 cm-1
1,S1,7,1-YDC_17,1/1-YDC_17.txt,1,227.8640,0.5194,0.5009,293.8300,1.0000,1.0000,411.9440,0.5038,0.5038,613.1300,0.2262,0.2262,1006.0600,0.2723,0.2723,1000000.0,0.01,12,5,3,maximum in 100–1800 cm-1
2,S2,1,2-YDC_1,2/2-YDC_1.txt,1,227.8640,0.6714,0.2216,293.8300,0.9175,0.9175,411.9440,0.9130,0.4402,610.3040,0.4647,0.1417,1008.7000,1.0000,1.0000,1000000.0,0.01,12,5,3,maximum in 100–1800 cm-1
2,S2,2,2-YDC_2,2/2-YDC_2.txt,1,227.8640,0.6723,0.5037,293.8300,1.0000,1.0000,411.9440,0.4969,0.3557,613.1300,0.2642,0.1755,1008.7000,0.1400,0.1400,1000000.0,0.01,12,5,3,maximum in 100–1800 cm-1
2,S2,3,2-YDC_3,2/2-YDC_3.txt,1,224.8490,0.5358,0.2626,293.8300,1.0000,1.0000,411.9440,0.6567,0.4079,613.1300,0.3848,0.2354,1008.7000,0.2878,0.2878,1000000.0,0.01,12,5,3,maximum in 100–1800 cm-1
