group,group_label,phase,bands_used,score_mean_normalized_height
1,"S1, red surface",Hematite,Hem_225+Hem_412+Hem_613,0.4605004067635344
1,"S1, red surface",Gypsum,Gyp_1006,0.6237263420258322
1,"S1, red surface",Calcite,Cal_711+Cal_1085,0.029249301540815703
2,"S2, pink-red surface",Hematite,Hem_225+Hem_412+Hem_613,0.6324337047001136
2,"S2, pink-red surface",Gypsum,Gyp_1006,0.4138568490442827
2,"S2, pink-red surface",Calcite,Cal_711+Cal_1085,0.07714225611160253
3,"S4, coloured surface points",Hematite,Hem_225+Hem_412+Hem_613,0.4617579481821334
3,"S4, coloured surface points",Gypsum,Gyp_1006,0.31095307187360965
3,"S4, coloured surface points",Calcite,Cal_711+Cal_1085,0.018789832263058782
4,"S2-FW, fresh white fracture",Hematite,Hem_225+Hem_412+Hem_613,0.053160187327945696
4,"S2-FW, fresh white fracture",Gypsum,Gyp_1006,0.03409231229921799
4,"S2-FW, fresh white fracture",Calcite,Cal_711+Cal_1085,0.5819950555666216
