raman_shift_cm-1,group_1_mean,group_1_sd,group_1_n,group_2_mean,group_2_sd,group_2_n,group_3_mean,group_3_sd,group_3_n,group_4_mean,group_4_sd,group_4_n
102.984,1.71232e-05,4.53038e-05,7,0.00268553,0.0034821,9,0.0159791,0.0284763,17,0.110066,0.0397738,6
106.061,0.0158574,0.0176092,7,0.000149277,0.000447831,9,0.0183553,0.0279915,17,0.119713,0.0324894,6
109.136,0.0321269,0.0324494,7,0.00378717,0.0073156,9,0.0219718,0.0275635,17,0.122006,0.0272641,6
112.209,0.0438973,0.0429574,7,0.0112834,0.0160248,9,0.0244419,0.0276475,17,0.119042,0.0235441,6
115.281,0.051764,0.0495747,7,0.0225547,0.0256022,9,0.0259796,0.0276096,17,0.112917,0.0211236,6
118.351,0.0562904,0.0529015,7,0.0379151,0.0348958,9,0.0268645,0.0271399,17,0.105728,0.0200756,6
121.42,0.0580508,0.0535415,7,0.0550017,0.0450183,9,0.0273788,0.0260833,17,0.0995707,0.0204549,6
124.487,0.0576199,0.0521063,7,0.0728644,0.0554696,9,0.0278364,0.0244008,17,0.0965431,0.0220005,6
127.552,0.0575178,0.0507737,7,0.0898312,0.0668784,9,0.030423,0.023305,17,0.0957958,0.0227871,6
130.616,0.0549928,0.0484372,7,0.103046,0.073309,9,0.033715,0.0277914,17,0.104072,0.0252136,6
133.679,0.0521089,0.0459711,7,0.116098,0.0804421,9,0.0360829,0.0382523,17,0.134664,0.0287293,6
136.74,0.0477485,0.0427842,7,0.12595,0.084568,9,0.037303,0.0504166,17,0.183949,0.027906,6
139.799,0.0418434,0.0381329,7,0.132473,0.0871036,9,0.037181,0.0607727,17,0.257826,0.0292292,6
142.857,0.0373057,0.0345709,7,0.141134,0.0878294,9,0.0368199,0.0667487,17,0.33437,0.0284684,6
145.914,0.0338696,0.0294848,7,0.152473,0.0950955,9,0.0357156,0.0692281,17,0.401331,0.0254925,6
148.969,0.0334947,0.0263619,7,0.161181,0.0967504,9,0.0342794,0.0666226,17,0.451286,0.0277465,6
152.023,0.0302905,0.0227151,7,0.171417,0.0994714,9,0.0306324,0.0603731,17,0.476923,0.0250764,6
155.074,0.0295181,0.0211827,7,0.18588,0.104432,9,0.0271523,0.0503688,17,0.480429,0.0225535,6
158.124,0.028695,0.0202777,7,0.200521,0.110747,9,0.0239188,0.0383802,17,0.459606,0.0206215,6
161.173,0.0329047,0.0215238,7,0.213264,0.11339,9,0.0241244,0.0291755,17,0.416491,0.018726,6
164.22,0.0427708,0.0271466,7,0.230839,0.118878,9,0.0273541,0.0304785,17,0.352601,0.015597,6
167.266,0.0540133,0.0329451,7,0.255772,0.12834,9,0.0331156,0.0395467,17,0.275813,0.0147826,6
170.31,0.066259,0.0395592,7,0.272916,0.134415,9,0.0410678,0.0479778,17,0.197868,0.0131152,6
173.353,0.0731154,0.043755,7,0.290726,0.137424,9,0.0455206,0.0515886,17,0.131591,0.0172399,6
176.394,0.0773625,0.046778,7,0.305222,0.139681,9,0.047881,0.0533954,17,0.0894214,0.018203,6
179.434,0.0765098,0.0469181,7,0.31815,0.144003,9,0.0475411,0.0527053,17,0.0663873,0.0138617,6
182.472,0.0726019,0.0459441,7,0.329383,0.149127,9,0.0466241,0.0515942,17,0.0661599,0.0173408,6
185.509,0.0656047,0.0424243,7,0.343239,0.156907,9,0.0439362,0.0486565,17,0.0677851,0.0202009,6
188.544,0.0553719,0.0375644,7,0.349583,0.160753,9,0.0392999,0.0442541,17,0.0689869,0.0218844,6
191.577,0.0447383,0.0342995,7,0.354796,0.162857,9,0.0335131,0.0394142,17,0.0695821,0.0248682,6
194.61,0.0285276,0.0272098,7,0.355971,0.167072,9,0.0260876,0.0353176,17,0.0687145,0.0281402,6
197.641,0.0169574,0.0216963,7,0.352552,0.171086,9,0.0158221,0.0325726,17,0.0682686,0.0285439,6
200.67,0.00973153,0.014204,7,0.347588,0.175664,9,0.0124833,0.0309286,17,0.0682452,0.0267772,6
203.698,0.0134119,0.017353,7,0.352419,0.177962,9,0.0162801,0.0346386,17,0.0686787,0.0266369,6
206.724,0.0456865,0.0265924,7,0.377099,0.175494,9,0.0529519,0.0346957,17,0.0670348,0.0214108,6
209.748,0.120278,0.0245271,7,0.419652,0.16128,9,0.137841,0.034787,17,0.0661662,0.0221,6
212.772,0.21899,0.0175112,7,0.476226,0.134392,9,0.242688,0.0397146,17,0.0683103,0.0206913,6
215.792,0.308643,0.0164015,7,0.533223,0.111831,9,0.339214,0.0441481,17,0.0716594,0.0213602,6
218.813,0.379228,0.0245542,7,0.576095,0.0926265,9,0.415384,0.0490808,17,0.0721231,0.0189453,6
221.832,0.424705,0.0364327,7,0.607345,0.0812937,9,0.466662,0.052826,17,0.0734526,0.0181858,6
224.849,0.445719,0.0448769,7,0.627227,0.0769094,9,0.493118,0.053497,17,0.0788331,0.0194602,6
227.864,0.444372,0.0508224,7,0.633396,0.075052,9,0.495357,0.0527469,17,0.0844315,0.0216179,6
230.878,0.422045,0.0503429,7,0.62369,0.0744108,9,0.471797,0.0513447,17,0.0896216,0.0239914,6
233.891,0.375873,0.0468224,7,0.606097,0.0825837,9,0.422312,0.0504239,17,0.0954355,0.0252216,6
236.902,0.305848,0.0405063,7,0.573984,0.0977718,9,0.347456,0.0501274,17,0.101251,0.0227893,6
239.911,0.220625,0.0308998,7,0.530465,0.121902,9,0.254493,0.0545053,17,0.112359,0.0201949,6
242.92,0.134951,0.0219566,7,0.49076,0.147687,9,0.166574,0.0562774,17,0.124906,0.0180134,6
245.926,0.07324,0.016495,7,0.464029,0.172697,9,0.102123,0.0549947,17,0.14152,0.021208,6
248.931,0.0425806,0.0133382,7,0.457595,0.188599,9,0.0719792,0.0500668,17,0.157894,0.020372,6
251.935,0.0417076,0.0136012,7,0.462029,0.194132,9,0.0730717,0.0503007,17,0.183133,0.0229146,6
254.937,0.0488786,0.0120982,7,0.473094,0.197028,9,0.0781638,0.0518335,17,0.224238,0.0254941,6
257.938,0.0462739,0.00935844,7,0.475577,0.200638,9,0.074531,0.0533609,17,0.291928,0.0285137,6
260.937,0.0394996,0.00851185,7,0.476375,0.206936,9,0.0639575,0.0522639,17,0.402244,0.0290208,6
263.935,0.0294052,0.0105484,7,0.471621,0.21184,9,0.0501277,0.0528378,17,0.550644,0.0260009,6
266.931,0.0249306,0.0132958,7,0.46876,0.215954,9,0.0446595,0.0504316,17,0.71628,0.0195657,6
269.926,0.0468948,0.0167811,7,0.473184,0.214953,9,0.0664757,0.0486185,17,0.870829,0.0117463,6
272.919,0.114653,0.0216372,7,0.501289,0.203549,9,0.133592,0.0485808,17,0.997147,0.00622688,6
275.911,0.242429,0.0274557,7,0.566214,0.178186,9,0.264368,0.0504577,17,1.07485,0.00482677,6
278.901,0.418936,0.0347054,7,0.657649,0.138914,9,0.443126,0.0519551,17,1.10163,0.00873166,6
281.89,0.609872,0.049708,7,0.766272,0.101054,9,0.638175,0.0497958,17,1.07483,0.0107195,6
284.878,0.787506,0.0663669,7,0.870268,0.0583099,9,0.822084,0.0448099,17,0.994668,0.0107859,6
287.863,0.931797,0.0823413,7,0.961372,0.0278494,9,0.970861,0.0357215,17,0.869716,0.00948741,6
290.848,1.02706,0.0921881,7,1.02426,0.0209828,9,1.06888,0.0240903,17,0.708877,0.0130497,6
293.83,1.06029,0.0995441,7,1.05334,0.02466,9,1.10662,0.0152188,17,0.537829,0.0147998,6
296.812,1.03242,0.099636,7,1.04917,0.0194872,9,1.08109,0.0211852,17,0.376985,0.0221859,6
299.791,0.944568,0.0945484,7,1.01209,0.0112395,9,0.992631,0.0357544,17,0.252041,0.0287167,6
302.77,0.801863,0.0833823,7,0.945802,0.0368343,9,0.84567,0.0508863,17,0.171776,0.031552,6
305.747,0.61754,0.0673505,7,0.851564,0.0785575,9,0.657741,0.062743,17,0.129998,0.029119,6
308.723,0.421899,0.048616,7,0.745592,0.125333,9,0.459391,0.067269,17,0.109755,0.025505,6
311.697,0.248745,0.0315092,7,0.646979,0.167744,9,0.285853,0.0649079,17,0.100262,0.0251702,6
314.669,0.126335,0.0157292,7,0.57425,0.198902,9,0.160833,0.0577695,17,0.0943437,0.0258078,6
317.64,0.0609648,0.0102116,7,0.52873,0.216177,9,0.0941967,0.0528374,17,0.0867269,0.0249771,6
320.609,0.0330249,0.0100302,7,0.502919,0.220296,9,0.0632216,0.0496529,17,0.0801804,0.0240096,6
323.578,0.0191723,0.0106175,7,0.487816,0.222958,9,0.0491192,0.0482895,17,0.0735846,0.0196508,6
326.545,0.0147493,0.0105063,7,0.472512,0.215499,9,0.0434938,0.0487595,17,0.0674891,0.0190568,6
329.51,0.0133212,0.0102303,7,0.464996,0.211382,9,0.0397088,0.0480481,17,0.0598312,0.0160053,6
332.473,0.0114111,0.00969643,7,0.454536,0.208555,9,0.0363515,0.047457,17,0.0537384,0.0154141,6
335.436,0.00829154,0.00680527,7,0.451608,0.208837,9,0.0326223,0.0443104,17,0.0476406,0.0136026,6
338.397,0.00711187,0.00694573,7,0.448679,0.206466,9,0.0302433,0.0433588,17,0.041387,0.0124804,6
341.356,0.00705655,0.0072109,7,0.450969,0.207512,9,0.0288321,0.0436271,17,0.0381788,0.0128562,6
344.314,0.00750028,0.00862594,7,0.453819,0.208403,9,0.0278163,0.0429007,17,0.0338452,0.00866394,6
347.27,0.00808956,0.00931562,7,0.462059,0.214227,9,0.0274088,0.0432051,17,0.0342509,0.0104489,6
350.225,0.00813052,0.0108327,7,0.474323,0.222545,9,0.0278115,0.0439265,17,0.0357503,0.0150074,6
353.178,0.0076224,0.0104868,7,0.483961,0.227149,9,0.0291642,0.0451463,17,0.035928,0.0170385,6
