half_width_cm-1,threshold,group,sample_id,group_label,positive_spectra,total_spectra,positive_fraction
6.0,0.08,1,S1,"S1, red surface",7,7,1.0
6.0,0.08,2,S2,"S2, pink-red surface",9,9,1.0
6.0,0.08,3,S4,"S4, coloured surface points",17,17,1.0
6.0,0.08,4,S2-FW,"S2-FW, fresh white fracture",0,6,0.0
6.0,0.1,1,S1,"S1, red surface",7,7,1.0
6.0,0.1,2,S2,"S2, pink-red surface",9,9,1.0
6.0,0.1,3,S4,"S4, coloured surface points",17,17,1.0
6.0,0.1,4,S2-FW,"S2-FW, fresh white fracture",0,6,0.0
6.0,0.12,1,S1,"S1, red surface",7,7,1.0
6.0,0.12,2,S2,"S2, pink-red surface",9,9,1.0
6.0,0.12,3,S4,"S4, coloured surface points",17,17,1.0
6.0,0.12,4,S2-FW,"S2-FW, fresh white fracture",0,6,0.0
8.0,0.08,1,S1,"S1, red surface",7,7,1.0
8.0,0.08,2,S2,"S2, pink-red surface",9,9,1.0
8.0,0.08,3,S4,"S4, coloured surface points",17,17,1.0
8.0,0.08,4,S2-FW,"S2-FW, fresh white fracture",0,6,0.0
8.0,0.1,1,S1,"S1, red surface",7,7,1.0
8.0,0.1,2,S2,"S2, pink-red surface",9,9,1.0
8.0,0.1,3,S4,"S4, coloured surface points",17,17,1.0
8.0,0.1,4,S2-FW,"S2-FW, fresh white fracture",0,6,0.0
8.0,0.12,1,S1,"S1, red surface",7,7,1.0
8.0,0.12,2,S2,"S2, pink-red surface",9,9,1.0
8.0,0.12,3,S4,"S4, coloured surface points",17,17,1.0
8.0,0.12,4,S2-FW,"S2-FW, fresh white fracture",0,6,0.0
10.0,0.08,1,S1,"S1, red surface",7,7,1.0
10.0,0.08,2,S2,"S2, pink-red surface",9,9,1.0
10.0,0.08,3,S4,"S4, coloured surface points",17,17,1.0
10.0,0.08,4,S2-FW,"S2-FW, fresh white fracture",0,6,0.0
10.0,0.1,1,S1,"S1, red surface",7,7,1.0
10.0,0.1,2,S2,"S2, pink-red surface",9,9,1.0
10.0,0.1,3,S4,"S4, coloured surface points",17,17,1.0
10.0,0.1,4,S2-FW,"S2-FW, fresh white fracture",0,6,0.0
10.0,0.12,1,S1,"S1, red surface",7,7,1.0
10.0,0.12,2,S2,"S2, pink-red surface",9,9,1.0
10.0,0.12,3,S4,"S4, coloured surface points",17,17,1.0
10.0,0.12,4,S2-FW,"S2-FW, fresh white fracture",0,6,0.0
