group,sample_id,group_label,spectrum,file,criterion,Hem_225_observed_cm-1,Hem_225_normalized_height,Hem_225_above_threshold,Hem_412_observed_cm-1,Hem_412_normalized_height,Hem_412_above_threshold,Hem_613_observed_cm-1,Hem_613_normalized_height,Hem_613_above_threshold,Hem_294_observed_cm-1,Hem_294_normalized_height,Hem_294_above_threshold,hematite_screening_bands_present,hematite_screening_positive
1,S1,"S1, red surface",1-YDC_11,1\1-YDC_11.txt,"operational screen: bands near 225, 412 and 613 cm-1 all >=0.10 within +/-8 cm-1",224.849,0.3955391170185133,True,411.944,0.6762719919805986,True,613.13,0.3893662490370483,True,293.83,0.9368023868202698,True,3,True
1,S1,"S1, red surface",1-YDC_12,1\1-YDC_12.txt,"operational screen: bands near 225, 412 and 613 cm-1 all >=0.10 within +/-8 cm-1",224.849,0.4051437888627756,True,411.944,0.6795048057492792,True,613.13,0.4487800791663688,True,293.83,1.1156541662035042,True,3,True
1,S1,"S1, red surface",1-YDC_13,1\1-YDC_13.txt,"operational screen: bands near 225, 412 and 613 cm-1 all >=0.10 within +/-8 cm-1",224.849,0.40204714663327323,True,411.944,0.558476945248121,True,613.13,0.3793673995244982,True,293.83,0.8953384463930723,True,3,True
1,S1,"S1, red surface",1-YDC_14,1\1-YDC_14.txt,"operational screen: bands near 225, 412 and 613 cm-1 all >=0.10 within +/-8 cm-1",224.849,0.48438845334373387,True,411.944,0.5483988102101952,True,613.13,0.31202792310932265,True,293.83,1.134021329052115,True,3,True
1,S1,"S1, red surface",1-YDC_15,1\1-YDC_15.txt,"operational screen: bands near 225, 412 and 613 cm-1 all >=0.10 within +/-8 cm-1",227.864,0.5145892319708326,True,411.944,0.5217963342542656,True,613.13,0.2551509504146606,True,293.83,1.1158299606508044,True,3,True
1,S1,"S1, red surface",1-YDC_16,1\1-YDC_16.txt,"operational screen: bands near 225, 412 and 613 cm-1 all >=0.10 within +/-8 cm-1",227.864,0.455490540830132,True,411.944,0.6043712183395458,True,613.13,0.3228030870714484,True,293.83,1.1154803047040625,True,3,True
1,S1,"S1, red surface",1-YDC_17,1\1-YDC_17.txt,"operational screen: bands near 225, 412 and 613 cm-1 all >=0.10 within +/-8 cm-1",227.864,0.47801809914641213,True,411.944,0.5733436659195106,True,613.13,0.2808150551378722,True,293.83,1.1089091230302106,True,3,True
2,S2,"S2, pink-red surface",2-YDC_1,2\2-YDC_1.txt,"operational screen: bands near 225, 412 and 613 cm-1 all >=0.10 within +/-8 cm-1",227.864,0.7306901091728891,True,411.944,0.9650620551386098,True,607.477,0.5643828265039015,True,296.812,1.0316897016204205,True,3,True
2,S2,"S2, pink-red surface",2-YDC_2,2\2-YDC_2.txt,"operational screen: bands near 225, 412 and 613 cm-1 all >=0.10 within +/-8 cm-1",227.864,0.6357480194763466,True,411.944,0.5673112820286774,True,610.304,0.3249564372724898,True,293.83,1.0669967035975372,True,3,True
2,S2,"S2, pink-red surface",2-YDC_3,2\2-YDC_3.txt,"operational screen: bands near 225, 412 and 613 cm-1 all >=0.10 within +/-8 cm-1",227.864,0.5620167455969352,True,411.944,0.7298529509889754,True,613.13,0.446209213083518,True,293.83,1.0603723830207203,True,3,True
2,S2,"S2, pink-red surface",2-YDC_4,2\2-YDC_4.txt,"operational screen: bands near 225, 412 and 613 cm-1 all >=0.10 within +/-8 cm-1",230.878,0.6914560416761386,True,411.944,0.9522141247711023,True,613.13,0.6048038439840561,True,296.812,1.0149379565730292,True,3,True
2,S2,"S2, pink-red surface",2-YDC_5,2\2-YDC_5.txt,"operational screen: bands near 225, 412 and 613 cm-1 all >=0.10 within +/-8 cm-1",224.849,0.7498837245273854,True,411.944,0.9799939693453755,True,607.477,0.5829584221461847,True,296.812,1.0297879752786459,True,3,True
2,S2,"S2, pink-red surface",2-YDC_6,2\2-YDC_6.txt,"operational screen: bands near 225, 412 and 613 cm-1 all >=0.10 within +/-8 cm-1",227.864,0.578851890729768,True,411.944,0.64370402097743,True,613.13,0.34580487879379024,True,296.812,1.0725827552803862,True,3,True
